expenditure_date,expenditure_year,payee_first_name,payee_last_name,organization_name,amount,committee_name,office_sought,district,ballot_issue...9,purpose,purpose_cleaned,street_address_1,street_address_2,payee_city,payee_state,zip_code,fef_expenditure,electioneering_communication,independent_expenditure,candidate_name,ballot_issue...21,position
2/6/2015,2015,,,Online Candidate,120,Friends of Tea Schook,City Council,11,,hosting,Event,P.O. Box 402,,Montgomery,NY,'12549',No,No,No,Tea Schook,,
2/4/2015,2015,,,Epic Business Apps,163,Friends of Tea Schook,City Council,11,,hosting,Event,7350 East Progress Place #100,,Greenwood Village,CO,'80111',No,No,No,Tea Schook,,
2/3/2015,2015,,,Meritcard Solutions,66.19,The Committee to Elect Michael Borcherding,City Council,9,,CC Processing ,Fee,311 Cesar Chavez Blvd,,Dallas,TX,'75201',No,No,No,Michael Borcherding,,
2/3/2015,2015,,,Authorize.net,22.05,The Committee to Elect Michael Borcherding,City Council,9,,CC Procesing,Fee,PO BOX 947,,American Fork,UT,'84003',No,No,No,Michael Borcherding,,
2/3/2015,2015,,,Fastlane Productions,2019,Hancock for Denver,Mayor,,,Audio/Visual,Marketing and advertising,200 W. Louisiana ,,Denver,CO,'80223',No,No,No,Michael Hancock,,
2/2/2015,2015,,,MailChimp,75,Kniech for Council At-Large,City Council At-Large,,,Newsletter,Marketing and advertising,512 Means St. Suite 404,,Atlanta,GA,'30318',No,No,No,Robin Kniech,,
1/20/2015,2015,,,Colorado Secretary of State,30,Kniech for Council At-Large,City Council At-Large,,,account maintenance,Fee,1700 Broadway #200,,Denver,CO,'80290',No,No,No,Robin Kniech,,
1/12/2015,2015,,,Golden Triangle Association,200,Chris Wedor for Denver City Council,City Council,10,,GTA Annual Gala,Event,PO BOX 40129,,Denver,CO,'80204',No,No,No,Chris Wedor,,
1/6/2015,2015,,,Epic Business Apps,163,Friends of Tea Schook,City Council,11,,hosting,Event,7350 East Progress Place #100,,Greenwood Village,CO,'80111',No,No,No,Tea Schook,,
1/5/2015,2015,,,Authorize.net,20,The Committee to Elect Michael Borcherding,City Council,9,,CC Processing,Fee,PO BOX 947,,American Fork,UT,'84003',No,No,No,Michael Borcherding,,
1/5/2015,2015,,,Meritcard Solutions,44.9,The Committee to Elect Michael Borcherding,City Council,9,,CC Processing,Fee,311 Cesar Chavez Blvd,,Dallas,TX,'75201',No,No,No,Michael Borcherding,,
12/9/2014,2014,,,Will Johnson,10,Friends of Marcia Johnson,City Council,5,,Secretary of State filing,Fee,1922 Locust Street,,Denver,CO,'80220',No,No,No,Marcia Johnson,,
12/3/2014,2014,,,Meritcard Solutions,44.9,The Committee to Elect Michael Borcherding,City Council,9,,CC processing,Fee,311 Cesar Chavez Blvd,,Dallas,TX,'75201',No,No,No,Michael Borcherding,,
12/3/2014,2014,,,Epic Business Apps,163,Friends of Tea Schook,City Council,11,,hosting,Event,7350 East Progress Place #100,,Greenwood Village,CO,'80111',No,No,No,Tea Schook,,
11/3/2014,2014,,,Meritcard Solutions,44.9,The Committee to Elect Michael Borcherding,City Council,9,,CC processing,Fee,311 Cesar Chavez Blvd,,Dallas,TX,'75201',No,No,No,Michael Borcherding,,
10/3/2014,2014,,,Meritcard Solutions,51.59,The Committee to Elect Michael Borcherding,City Council,9,,CC processing,Fee,311 Cesar Chavez Blvd,,Dallas,TX,'75201',No,No,No,Michael Borcherding,,
7/31/2014,2014,,,Target,64.52,Denver County Republican Central Committee PAC,,,,dragon boat festival,Event,4301 E Virginia,,Glendale,CO,'80222',No,No,No,,,
7/22/2014,2014,,,Target,55.39,Denver County Republican Central Committee PAC,,,,dragon boat festival,Event,4301 E Virginia,,Glendale,CO,'80222',No,No,No,,,
7/18/2014,2014,,,Detective Lisa Love,180,Jeanne Robb for City Council (2011)  ,City Council,10,,Police for Concert,Event,3822 So Joplin St,,Aurora,CO,'80013',No,No,No,Jeanne Robb,,
7/3/2014,2014,,,Meritcard Solutions,27.86,The Committee to Elect Michael Borcherding,City Council,9,,CC Processing,Fee,311 Cesar Chavez Blvd,,Dallas,TX,'75201',No,No,No,Michael Borcherding,,
6/26/2014,2014,,,HobNob Events & Festivals,80,Jeanne Robb for City Council (2011)  ,City Council,10,,Bluegrass Concert,Event,970 So Pearl St,,Denver,CO,'80209',No,No,No,Jeanne Robb,,
5/18/2014,2014,,,Michael Prostman,792.2,Citizens for Jeanne Faatz (2011)  ,City Council,2,,Computer set-up and parts,Supplies,2675 S Zurich St,,Denver,CO,'80219',No,No,No,Jeanne Faatz,,
4/30/2014,2014,,,McTeggart School of Irish Dance,200,Gallagher for Auditor (2011)  ,Auditor,,,Dancers for St. Pat's,Event,19908 E. Union Dr.,,Centennial,CO,'80015',No,No,No,Dennis Gallagher,,
4/30/2014,2014,,,McTeggart School of Irish Dance,200,Gallagher for Auditor (2011)  ,Auditor,,,Dancers for St. Pat's,Event,19908 E. Union Dr.,,Centennial,CO,'80015',No,No,No,Dennis Gallagher,,
4/29/2014,2014,,,SUSAN SHEPHERD,1000,UNITED Event & COMMERCIAL WORKERS LOCAL 7 POLITICAL COMMITTEE,,,,CANDIDATE FOR DENVER CITY COUNCIL,Donation,2126 GROVE STREET,,Denver,CO,'80211',No,No,No,,,
4/16/2014,2014,,,KNIECH FOR COUNCIL AT LARGE,2000,UNITED Event & COMMERCIAL WORKERS LOCAL 7 POLITICAL COMMITTEE,,,,CANDIDATE FOR DENVER CITY COUNCIL AT LARGE,Donation,P.O. BOX 40308,,Denver,CO,'80204',No,No,No,,,
4/3/2014,2014,,,"Dell, Inc",3123.36,Citizens for Jeanne Faatz (2011)  ,City Council,2,,New computer,Supplies,Internet purchase,,Denver,CO,'80219',No,No,No,Jeanne Faatz,,
3/26/2014,2014,,,Servicios de la Raza,250,Albus Brooks for City Council,City Council,9,,Gala,Event,3131 West 14th Ave,,Denver,CO,'80204',No,No,No,Albus Brooks,,
2/24/2014,2014,,,Will Johnson,10,Friends of Marcia Johnson,City Council,5,,Secretary of State filing,Fee,1922 Locust Street,,Denver,CO,'80220',No,No,No,Marcia Johnson,,
12/7/2013,2013,,,Walgreens,47,Charlie Brown for City Council (2011)  ,City Council,6,,Constituent pictures from open house,Event,1235 E. Evans,,Denver,CO,'80210',No,No,No,Charlie Brown,,
12/4/2013,2013,,,Margaret Jackson,1250,Judy Montero Victory Fund (2011)  ,City Council,9,,newsletter / writing,Marketing and advertising,1921 W. 32nd Avenue,,Denver,CO,'80211',No,No,No,Judy Montero,,
11/1/2013,2013,,,Gateaux Bakery,150,Charlie Brown for City Council (2011)  ,City Council,6,,Open House,Event,1160 N. Speer Blvd,,Denver,CO,'80204',No,No,No,Charlie Brown,,
11/1/2013,2013,,,Lisa Kreig Cupcakes,150,Charlie Brown for City Council (2011)  ,City Council,6,,Open House,Event,1250 S. Clayton St,,Denver,CO,'80210',No,No,No,Charlie Brown,,
11/1/2013,2013,,,King Soopers,69,Charlie Brown for City Council (2011)  ,City Council,6,,Open House,Event,2750 S. Colorado Blvd,,Denver,CO,'80210',No,No,No,Charlie Brown,,
10/31/2013,2013,,,Wendy's Cleaning,125,Charlie Brown for City Council (2011)  ,City Council,6,,Cleaning Service for Open House,Staffing,1495 S. Jersey Way,,Denver,CO,'80210',No,No,No,Charlie Brown,,
10/30/2013,2013,,,Butler Rents,534,Charlie Brown for City Council (2011)  ,City Council,6,,Open House ,Event,4455 E. Virginia,,Denver,CO,'80246',No,No,No,Charlie Brown,,
9/17/2013,2013,,,Devils Thumb Ranch,7.27,Albus Brooks for City Council,City Council,9,,Visit Denver Retreat,Event,3530 County Road 83 Post Office Box 750,,Tabernash,CO,'80478',No,No,No,Albus Brooks,,
9/17/2013,2013,,,Devils Thumb Ranch,123.9,Albus Brooks for City Council,City Council,9,,Visit Denver Retreat,Event,3530 County Road 83 Post Office Box 750,,Tabernash,CO,'80478',No,No,No,Albus Brooks,,
9/4/2013,2013,,,Rachel Quintana,100,Charlie Brown for City Council (2011)  ,City Council,6,,Bonus for Summer Intern,Staffing,1285 S Depew St,,Lakewood,CO,'80232',No,No,No,Charlie Brown,,
8/28/2013,2013,,,Sams Broadway Liquors,84.26,Ortega at Large,City Council At-Large,,,Alcohol for social gathering,Event,506 S Broadway,,Denver,CO,'80209',No,No,No,Deborah Ortega,,
7/12/2013,2013,,,Ranked Ballot Initiative,1000,MacKenzie for Council,City Council,7,,Ranked Choice Ballot Non-profit,Event,15 Lauder Ave,,Toronto,CO,'80204',No,No,No,Kathleen MacKenzie,,
5/24/2013,2013,,,McTeggart School of Irish Dance,200,Gallagher for Auditor (2011)  ,Auditor,,,Dancers for St. Pat,Event,19908 E. Union Dr.,,Centennial,CO,'80015',No,No,No,Dennis Gallagher,,
4/12/2013,2013,,,Xfinity,129.95,Citizens for Jeanne Faatz (2011)  ,City Council,2,,Computer Maintenance,Supplies,One Comcast Center,,Philadelphia,PA,'19103',No,No,No,Jeanne Faatz,,
4/12/2013,2013,,,Xfinity,48.95,Citizens for Jeanne Faatz (2011)  ,City Council,2,,Computer Maintenance,Supplies,One Comcast Center,,Philadelphia,PA,'19103',No,No,No,Jeanne Faatz,,
3/26/2013,2013,,,Criso Consumer Products,87.68,Citizens for Jeanne Faatz (2011)  ,City Council,2,,Computer parts,Supplies,2111 Eastridge Avenue,,Riverside,CA,'92507',No,No,No,Jeanne Faatz,,
2/7/2013,2013,,,C&D Printing,1200,Gallagher for Auditor (2011)  ,Auditor,,,St. Pat's Invitations,Supplies,5351 Tennyson St. Unit 1-C,,Denver,CO,'80212',No,No,No,Dennis Gallagher,,
11/26/2012,2012,,,Will Johnson,10,Friends of Marcia Johnson,City Council,5,,Secretary of State filing,Fee,1922 Locust Street,,Denver,CO,'80220',No,No,No,Marcia Johnson,,
9/6/2012,2012,,,Phone Surcharge,257,Albus Brooks for City Council,City Council,9,,Kenya Trip ,Travel,Denver,,Denver,CO,'80205',No,No,No,Albus Brooks,,
2/17/2012,2012,,,PRG Denver,358.38,Hancock for Denver,Mayor,,,Audio/Visual Service,Staffing,13450 Smith Rd. #100,,Aurora,CO,'80011',No,No,No,Michael Hancock,,
2/8/2012,2012,,,Pay Pal,15,Ortega at Large,City Council At-Large,,,Setup Pay Pal account,Fee,2211 North First Street,,San Jose,CA,'95131',No,No,No,Deborah Ortega,,
1/26/2023,2023,,,Zoom Video Communications,13.69,trinidad4denver,Mayor,,,Prorated second account,Staffing,55 Almaden Blvd,6th Floor,San Jose,CA,'95113',No,No,No,Trinidad Rodriguez,,
1/10/2023,2023,,,Vantiv eCommerce,54.95,Sawyer for Denver City Council,City Council,5,,Processing,Staffing,4610 South Ulster Street,,Denver,CO,'80237',No,No,No,Amanda Sawyer,,
12/30/2022,2022,,,FirstBank,12,Gardner for Mayor,Mayor,,,Activity Charge,Fee,PO BOX150097,,Lakewood,CO,'80215',No,No,No,Al Gardner,,
12/5/2022,2022,,,duplessis art,750,Watson for Denver,City Council,9,,error charge,Error,"8860 Westminster Boulevard, #223",,WESTMINSTER,CO,'80031',No,No,No,Darrell Watson,,
10/18/2022,2022,,,Colorado Secretary of State,100,Amanda Sandoval for Council ,City Council,1,,Periodic Report,Fee,1700 Broadway,Suite 550,Denver,CO,'80290',No,No,No,Amanda Sandoval,,
9/26/2022,2022,,,Bity Europe GmbH,119.88,Ortega for Denver,Mayor,,,Establish a QR Code,Online expense,3700 Tennyson St,PO Box 12193,Denver,CO,'80212',No,No,No,Deborah Ortega,,
8/3/2022,2022,,,Amazon.com Services LLC ,180.13,NEWR Denver,,,,Canopy for tabling ,Supplies,410 Terry Avenue North,,Seattle,WA,'98109',No,No,No,,,
1/20/2022,2022,,,Strategies 360 Inc.,8000,Rise Denver,,, and 4 others,Management,Staffing,999 18th St. #2155N,,Denver,CO,'80202',No,No,No,, and 4 others,
12/7/2021,2021,,,City and County of Denver,66,Safe and Sound Denver,,,,Record Release Request,Supplies,201 W. Colfax Ave,,Denver,CO,'80202',No,No,No,,,
11/26/2021,2021,,,Strategies 360 Inc.,8000,Rise Denver,,, and 4 others,Management,Staffing,999 18th St. #2155N,,Denver,CO,'80202',No,No,No,, and 4 others,
10/18/2021,2021,,,Denver Elections Division,50,Safe and Sound Denver,,,,Record Release Request,Supplies,200 W. 14th Avenue,,Denver,CO,'80204',No,No,No,,,
10/12/2021,2021,,,Strategies 360 Inc.,2000,Empower Northeast Denver,,, and 1 others,Management ,Staffing,999 18th St. #2155N,,Denver,CO,'80202',No,No,No,, and 1 others,
9/30/2021,2021,,,Strategies 360 Inc.,4000,Empower Northeast Denver,,, and 1 others,Management,Staffing,999 18th St. #2155N,,Denver,CO,'80202',No,No,No,, and 1 others,
9/29/2021,2021,,,Alvertis Simmons,2500,Rise Denver,,, and 4 others,Community Organization,Staffing,PO Box 202991,,Denver,CO,'80220',No,No,No,, and 4 others,
9/15/2021,2021,,,Strategies 360 Inc.,9000,Rise Denver,,, and 4 others,Management,Staffing,999 18th St. #2155N,,Denver,CO,'80202',No,No,No,, and 4 others,
9/15/2021,2021,,,Madison Butler,2500,Rise Denver,,, and 4 others,Community Organization,Staffing,16843 Scenic Ln. S.,,Minnetonka,MN,'55345',No,No,No,, and 4 others,
8/27/2021,2021,,,City and County of Denver,33,Safe and Sound Denver,,,,Record Release Request,Supplies,201 W. Colfax Ave,,Denver,CO,'80202',No,No,No,,,
8/5/2021,2021,,,City and County of Denver,132,Safe and Sound Denver,,,,Record Release Request,Supplies,201 W. Colfax Ave,,Denver,CO,'80202',No,No,No,,,
7/2/2021,2021,,,City and County of Denver,15,Safe and Sound Denver,,,,Record Release Request,Supplies,201 W. Colfax Ave,,Denver,CO,'80202',No,No,No,,,
6/21/2021,2021,,,Denver City Council,99,Safe and Sound Denver,,,,Record Release Request,Supplies,"1437 Bannock Street, Room 451",,Denver,CO,'80207',No,No,No,,,
3/23/2021,2021,,,Denver City Council,346.5,Safe and Sound Denver,,,,Record Release Request,Supplies,"1437 Bannock Street, Room 451",,Denver,CO,'80207',No,No,No,,,
12/22/2019,2019,,,Best Buy,215.84,Citizens for Jeanne Faatz (2011)  ,City Council,2,,UPS backup and surge protector,Staffing,5395 S. Wadsworth Blvd,,Lakewood,CO,'80123',No,No,No,Jeanne Faatz,,
12/2/2019,2019,,,Best Buy,96.63,Citizens for Jeanne Faatz (2011)  ,City Council,2,,External hard drive,Supplies,5395 S. Wadsworth Blvd,,Lakewood,CO,'80123',No,No,No,Jeanne Faatz,,
10/29/2019,2019,,,Sweetbaum Sands Anderson PC,1877.5,O'Brien for Auditor,Auditor,,,Auditor must be a CPA,Staffing,1125 Seventeenth St 2100,,Denver,CO,'80202',No,No,No,Timothy O'Brien,,
8/1/2019,2019,,,Chris for Denver,12500,Chris for Denver,City Council,10,,Win bonuses,Staffing,PO Box 18423,,Denver,CO,'80218',No,No,No,Chris Hinds,,
7/18/2019,2019,,,Victoria Aguilar,140.04,Victoria R Aguilar for Denver City Council,City Council,1,,Reimburse,Staffing,4450 Newton St. ,,Denver,CO,'80211',No,No,No,Victoria Aguilar,,
7/9/2019,2019,,,Vantive E commerce,93.44,Sawyer for Denver City Council,City Council,5,,PROCESSING ,Staffing,4610 South Ulster Street,,Denver,CO,'80237',No,No,No,Amanda Sawyer,,
7/8/2019,2019,,,Mary Beth Susman,40.27,Susman for City Council,City Council,5,,Reimburse Mgr Post election interview,Staffing,523 Hudson St,,Denver,CO,'80220',No,No,No,Mary Beth Susman,,
6/2/2019,2019,,,Legacy Independent Expenditure,7040,"Colorado's Best People, Inc.",Mayor,,,door-to-door to Support Michael Hancock,Staffing,,,,,,No,Yes,Yes,Michael Hancock,,Support
5/28/2019,2019,,,Amazon,47.25,Resilient Denver,,,,Clipboards,Supplies,PO Box 81226,,Seattle,WA,'98108',No,No,No,,,
5/25/2019,2019,,,Amazon,19.9,Resilient Denver,,,,Clipboards,Supplies,PO Box 81226,,Seattle,WA,'98108',No,No,No,,,
5/22/2019,2019,,,Manager of Finance,150,Chris for Denver,City Council,10,,CORA Request - Wayne New,Supplies,201 E Colfax,,Denver,CO,'80202',No,No,No,Chris Hinds,,
5/21/2019,2019,,,Artist Proof Collective,3705.29,Candi for Council ,City Council,9,,swag,Merchandise,760 Umatilla St. ,,Denver,CO,'80204',No,No,No,Candi CdeBaca,,
5/20/2019,2019,,,B Fresh,64.99,Albus Brooks for City Council,City Council,9,,Gear,Merchandise,30 W Bayoud Ave.,,Denver,CO,'80203',No,No,No,Albus Brooks,,
5/9/2019,2019,,,USPS,31,Kalyn 4 Mayor,Mayor,,,Shipping,Supplies,951 20th S,,Denver,CO,'80202',No,No,No,Kalyn Heffernan,,
5/5/2019,2019,,,USPS,22.7,Kalyn 4 Mayor,Mayor,,,Shipping,Supplies,951 20th S,,Denver,CO,'80202',No,No,No,Kalyn Heffernan,,
5/3/2019,2019,,,USPS,46.65,Kalyn 4 Mayor,Mayor,,,Shipping,Supplies,951 20th S,,Denver,CO,'80202',No,No,No,Kalyn Heffernan,,
5/3/2019,2019,,,Actblue,297.84,Candi for Council ,City Council,9,,processing,Staffing,P.O. Box 441146,,Somerville,MA,'02144',No,No,No,Candi CdeBaca,,
4/30/2019,2019,,,Campaign Products of the Rockies,1368.1,Victoria R Aguilar for Denver City Council,City Council,1,,Campaign Products ,Staffing,PO Box 13365 ,,Denver,CO,'80201',No,No,No,Victoria Aguilar,,
4/30/2019,2019,,,Facebook Ads,100,Sawyer for Denver City Council,City Council,5,,null,Marketing and advertising,1 Hacker Way ,,Menlo Park,CA,'94025',No,No,No,Amanda Sawyer,,
4/29/2019,2019,,,Facebook Ads,100,Sawyer for Denver City Council,City Council,5,,null,Marketing and advertising,1 Hacker Way ,,Menlo Park,CA,'94025',No,No,No,Amanda Sawyer,,
4/29/2019,2019,,,Facebook Ads,100,Sawyer for Denver City Council,City Council,5,,null,Marketing and advertising,1 Hacker Way ,,Menlo Park,CA,'94025',No,No,No,Amanda Sawyer,,
4/29/2019,2019,,,Facebook Ads,100,Sawyer for Denver City Council,City Council,5,,null,Marketing and advertising,1 Hacker Way ,,Menlo Park,CA,'94025',No,No,No,Amanda Sawyer,,
4/29/2019,2019,,,Facebook Ads,100,Sawyer for Denver City Council,City Council,5,,null,Marketing and advertising,1 Hacker Way ,,Menlo Park,CA,'94025',No,No,No,Amanda Sawyer,,
4/26/2019,2019,,,Facebook Ads,100,Sawyer for Denver City Council,City Council,5,,null,Marketing and advertising,1 Hacker Way ,,Menlo Park,CA,'94025',No,No,No,Amanda Sawyer,,
4/25/2019,2019,,,Facebook Ads,100,Sawyer for Denver City Council,City Council,5,,null,Marketing and advertising,1 Hacker Way ,,Menlo Park,CA,'94025',No,No,No,Amanda Sawyer,,
4/24/2019,2019,,,Facebook Ads,100,Sawyer for Denver City Council,City Council,5,,null,Marketing and advertising,1 Hacker Way ,,Menlo Park,CA,'94025',No,No,No,Amanda Sawyer,,
4/24/2019,2019,,,USPS,38,Kalyn 4 Mayor,Mayor,,,Shipping,Supplies,951 20th S,,Denver,CO,'80202',No,No,No,Kalyn Heffernan,,
4/23/2019,2019,,,Facebook Ads,100,Sawyer for Denver City Council,City Council,5,,null,Marketing and advertising,1 Hacker Way ,,Menlo Park,CA,'94025',No,No,No,Amanda Sawyer,,
4/22/2019,2019,,,Facebook Ads,100,Sawyer for Denver City Council,City Council,5,,null,Marketing and advertising,1 Hacker Way ,,Menlo Park,CA,'94025',No,No,No,Amanda Sawyer,,
4/22/2019,2019,,,Facebook Ads,100,Sawyer for Denver City Council,City Council,5,,null,Marketing and advertising,1 Hacker Way ,,Menlo Park,CA,'94025',No,No,No,Amanda Sawyer,,
4/18/2019,2019,,,Kevin  Matthews,2000,Denver Psilocybin Initiative,,,,Compensation,Staffing,6755 Newland St.,,Arvada,CO,'80003',No,No,No,,,
4/8/2019,2019,,,Kevin Matthews,2000,Denver Psilocybin Initiative,,,,Compensation,Staffing,6755 Newland St,,Arvada,CO,'80003',No,No,No,,,
4/1/2019,2019,,,Denver Housing Forum,86.5,Committee for Veronica Barela Dist. 3,City Council,3,,Housing Forum,Event,650 15th St,,Denver,CO,'80202',No,No,No,Veronica Barela,,
4/1/2019,2019,,,FedEx Office,42.11,Denver Psilocybin Initiative,,,,Prointing,Staffing,5455 Wadsworth Bypass,,Arvada,CO,'80002',No,No,No,,,
4/1/2019,2019,,,Kevin Matthews,500,Denver Psilocybin Initiative,,,,Compensation,Staffing,6755 Newland St,,Arvada,CO,'80003',No,No,No,,,
3/26/2019,2019,,,Fry for 5,500,CWA-COPE PCC,,,,Non Federal Candidate,Donation,1475 Monaco Parkway,,Denver,CO,'80220',No,No,No,,,
3/16/2019,2019,,,O'Brien for Auditor,2000,Denver Fire Fighters PAC,,,,City Auditor,Donation,3266 S. Steele St.,,Denver,CO,'80210',No,No,No,,,
3/12/2019,2019,,,Harm Reduction Action Center,7500,Kayvan for Denver,Mayor,,,Campaign to Non-Profit Transfer,Staffing,231 E Colfax Ave,,Denver,CO,'80203',No,No,No,Kayvan Khalatbari,,
3/12/2019,2019,,,Colorado Village Collaborative,7500,Kayvan for Denver,Mayor,,,Campaign to Non-Profit Transfer,Staffing,3733 Walnut St.,,Denver,CO,'80205',No,No,No,Kayvan Khalatbari,,
3/5/2019,2019,,,Tate for Mayor,500,CWA-COPE PCC,,,,Non Federal Candidate,Donation,"1550 Larimer, #921",,Denver,CO,'80202',No,No,No,,,
3/5/2019,2019,,,Ortega at Large,1000,CWA-COPE PCC,,,,Non Federal Candidate,Donation,2031 W. 37th Avenue,,Denver,CO,'80211',No,No,No,,,
3/5/2019,2019,,,Kniech for Council At-Large,1000,CWA-COPE PCC,,,,Non Federal Candidate,Donation,P O Box 40308,,Denver,CO,'80204',No,No,No,,,
3/5/2019,2019,,,Lopez for Denver,1000,CWA-COPE PCC,,,,Non Federal Candidate,Donation,735 Julian Street,,Denver,CO,'80204',No,No,No,,,
3/5/2019,2019,,,Jamie Torres for Council,500,CWA-COPE PCC,,,,Non Federal Candidate,Donation,958 Julian Street,,Denver,CO,'80204',No,No,No,,,
3/5/2019,2019,,,Friends of Patrick Thibault,500,CWA-COPE PCC,,,,Non Federal Candidate,Donation,P O Box 7627,,Denver,CO,'80111',No,No,No,,,
3/5/2019,2019,,,Candi for Council,500,CWA-COPE PCC,,,,Non Federal Candidate,Donation,P O Box 16812,,Denver,CO,'80216',No,No,No,,,
3/5/2019,2019,,,Chris for Denver,500,CWA-COPE PCC,,,,Non Federal Candidate,Donation,"1950 Logan Street, #902",,Denver,CO,'80203',No,No,No,,,
2/28/2019,2019,,,Write Stuff Strategies,85,Let Denver Vote,,,,Constant Contact,Online expense,P.O. Box 100093,,Denver,CO,'80250',No,No,No,,,
2/25/2019,2019,,,Hootsuite,45,Amanda Sandoval for Council ,City Council,1,,Social network management platform,Staffing,12 E. 49th Street,,New York,NY,'10017',No,No,No,Amanda Sandoval,,
2/19/2019,2019,,,Squarespace,2.43,Denver Psilocybin Initiative,,,,SquareSpace Purchase,Online expense,n/a,,Denver,CO,'80003',No,No,No,,,
2/15/2019,2019,,,Finance-Denver Election Division,100,Greenberg Traurig Colorado Political Action Committee,,,,Late Filing Penalty,Fee,200 W. 14th Ave.,,Denver,CO,'80204',No,No,No,,,
1/31/2019,2019,,,ACTBLUEDONATE,125.25,Sawyer for Denver City Council,City Council,5,,payments processing,Staffing,PO Box 441146,,Somerville,MA,'02148',No,No,No,Amanda Sawyer,,
1/31/2019,2019,,,"Adobe Systems, Inc.",23.88,Raymond 4 City Council,City Council,3,,Campaign Progam assistant,Staffing,345 Park Avenue,,San Jose,CA,'95110',No,No,No,Raymond Montoya,,
1/12/2019,2019,,,Campaign Products of the Rockies,269.13,Jamie Torres for Council,City Council,3,,campaign products,Staffing,3361 West 36th Ave.,,Denver,CO,'80211',No,No,No,Jamie Torres,,
12/28/2018,2018,,,Buntport Theater,100,Democracy for the People,,,,non-profit,Staffing,717 Lipan St.,,Denver,CO,'80204',No,No,No,,,
12/28/2018,2018,,,Casa de Paz,200,Democracy for the People,,,,Non-profit,Staffing,PO Box 111351,,Aurora,CO,'80042',No,No,No,,,
12/26/2018,2018,,,Rita Kay Gilbert,150,Healthy Event For Denver,,,,CPA,Staffing,2004 S Owens Ct. ,,Lakewood,CO,'80227',No,No,No,,,
12/24/2018,2018,,,Walters Pizzeria ,87.91,Shayla R Richard,City Council,11,,Concessions ,Event,1906 Pearl St ,,Denver,CO,'80203',No,No,No,Shayla Richard,,
12/20/2018,2018,,,Sams Club,99.9,Shayla R Richard,City Council,11,,Concessions ,Event,7805 E 35th Ave,,Denver,CO,'80238',No,No,No,Shayla Richard,,
12/18/2018,2018,,,"Rita Kay Gilbert, PC",600,Healthy Parks and Rivers for Everyone,,,,CPA,Staffing,2004 S. Owens Ct. ,,Lakewood,CO,'80227',No,No,No,,,
12/18/2018,2018,,,"Rita K Gilbert, PC",600,Caring 4 Denver,,,,CPA,Staffing,2004 S. Owens Ct. ,,Lakewood,CO,'80227',No,No,No,,,
12/18/2018,2018,,,Caleb Alverado,375,Caring 4 Denver,,,,Stipend,Staffing,3633 North Race Street,,Denver,CO,'80205',No,No,No,,,
12/18/2018,2018,,,Ryan Landell,300,Caring 4 Denver,,,,Stipend,Staffing,"225 S. Harrison Street, #A510",,Denver,CO,'80209',No,No,No,,,
12/10/2018,2018,,,Facebook,3.6,Jonathan P. Woodley for Denver,City Council,9,,Avertising,Marketing and advertising,1 Hacker Way ,,Menlo Park,CA,'94025',No,No,No,Jonathan Woodley,,
11/8/2018,2018,,,Jared Bynum,500,Caring 4 Denver,,,,Stipend,Staffing,9201 E Mississippi Avenue,,Denver,CO,'80247',No,No,No,,,
10/30/2018,2018,,,Taylor Craver,4000,Kayvan for Denver,Mayor,,,Severence,Staffing,1719 N. Emerson St.,,Denver,CO,'80218',No,No,No,Kayvan Khalatbari,,
10/10/2018,2018,,,Aristotle,300,Chris for Denver,City Council,10,,Customer Relationship Management,Staffing,205 Pennsylvania Ave SE,,Washington,DC,'20003',No,No,No,Chris Hinds,,
9/21/2018,2018,,,Progress Now Colorado,500,Healthy Event For Denver,,,,Press support,Staffing,"1536 Wynkoop Street, Suite 300",,Denver,CO,'80202',No,No,No,,,
9/4/2018,2018,,,Cranmer Hilltop Civic Association,26,Sawyer for Denver City Council,City Council,5,,Professional Development,Staffing,Cranmer Park ,,Denver,CO,'80220',No,No,No,Amanda Sawyer,,
8/10/2018,2018,,,Emerge Colorado,20,Sawyer for Denver City Council,City Council,5,,Professional Development,Staffing,2420 17th St.,,Denver,CO,'80202',No,No,No,Amanda Sawyer,,
8/1/2018,2018,,,Finance-Denver Election Division,100,Greenberg Traurig Colorado Political Action Committee,,,,Filing Penalty,Fee,200 W. 14th Ave.,,Denver,CO,'80204',No,No,No,,,
7/17/2018,2018,,,Rochelle Bricker,200,Colleen 4 Denver,City Council,4,,Campaign Pictures,Marketing and advertising,3950 turnpike dr #11 ,,Westminster,CO,'80030',No,No,No,Colleen Zahradnicek,,
6/21/2018,2018,,,Sams Club,96.86,Raymond 4 City Council,City Council,3,,Rec Canopy ,Supplies,505 S Broadway ,,Denver,CO,'80246',No,No,No,Raymond Montoya,,
6/12/2018,2018,,,The UPS Store,36.93,Tony Pigford,City Council At-Large,,,Shipping,Supplies,757 E 20TH AVE SUITE 370,,Denver,CO,'80205',No,No,No,Anthony Pigford,,
6/4/2018,2018,,,DNH GoDaddy.com,93.19,Raymond 4 City Council,City Council,3,,Mistake Charge by Co.,Fee,14455 North Hayden Road,,Scottsdale,AZ,'85260',No,No,No,Raymond Montoya,,
5/29/2018,2018,,,John Leyba,200,Albus Brooks for City Council,City Council,9,,D9 Scholarship Pictures,Marketing and advertising,10328 Blue Heron Court,,Highlands Ranch,CO,'80129',No,No,No,Albus Brooks,,
